bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
4,bcb044669b4d1f8d334861ccbd169924d6ef3b54,3ba9ba799b3261b7332a467a88be142c83b298fd,88,https://github.com/JodaOrg/joda-time/issues/88
5,a38b5e0c620a4a4dc310d35105e3e432c4e91fc3,a6cb59ed2280ab0a32995fa8b5f1a7b0d47cb815,79,https://github.com/JodaOrg/joda-time/issues/79
7,6bf5bba0f77f3023dec23a1de6e0a8cef8585f61,1adb1e69863dcd1ff282692bf1452c422528eeb9,21,https://github.com/JodaOrg/joda-time/issues/21
8,96f586cb8dac7eee62e9be519a3eab125c47bb23,362ed1787724cda3ded37de2b0aa0f13adf0a66e,42,https://github.com/JodaOrg/joda-time/issues/42
14,cc3262ff42e41f3b1f64290262704da3895fbe85,2ea856328ed5710537778d755a5ff52a6831a2ee,151,https://sourceforge.net/p/joda-time/bugs/151
15,383354adc669c3fd8d9e6fe3a25403df993e11e7,0cefc4c212e92e5dccdfa658785c419483317558,147,https://sourceforge.net/p/joda-time/bugs/147
16,dba7c37ea3d83b32779d3bb13cb184aedf761a8a,706513d59425e7a9dc6bdb972f25b03b02e48558,148,https://sourceforge.net/p/joda-time/bugs/148
17,cdeacf09e33ddbaf75a4563d7bc62063f50972b1,a8913f5ad5dfde59263c981c9e9eb28e43fd2e00,141,https://sourceforge.net/p/joda-time/bugs/141
18,e16eb72a29d06ce36030b109156bea3244273fb8,b609d7d66d180f2eb537b27f5d605d0596e096ce,130,https://sourceforge.net/p/joda-time/bugs/130
19,a92450e88df85d6b7a0fa53517da46286c24f53f,82c5e4f9550e4df36e07b66f35f7c3e9d7eb5eba,124,https://sourceforge.net/p/joda-time/bugs/124
20,17a60c9a7253d9a8fce6afe2ce46bea78ac53ebe,a92450e88df85d6b7a0fa53517da46286c24f53f,126,https://sourceforge.net/p/joda-time/bugs/126
22,14dedcbc04682c1b1b6c5ebe91bc930b79eeb572,57c8aaf94b95323c295dcfec5f40f181846164e7,113,https://sourceforge.net/p/joda-time/bugs/113
23,bfd37a81dd7f4c9e35340f3de0b5b1e8066a141b,14dedcbc04682c1b1b6c5ebe91bc930b79eeb572,112,https://sourceforge.net/p/joda-time/bugs/112
24,c3bec2cd4eea2e87c650f5ad9b537dddb804778c,d50efdf75a8daeced88d79b168f68d189fb87e13,107,https://sourceforge.net/p/joda-time/bugs/107
25,c7a581e55fc988bd90fa4bb1b0acece5181b7c5f,552be4b677ec30a34d04d234395ba1a8c7beaacf,90,https://sourceforge.net/p/joda-time/bugs/90
27,d090b642dc04259286d3478cfa49f1da2f0755e6,e0559c503f65641b9546c37e7c84c866caf37e66,64,https://sourceforge.net/p/joda-time/bugs/64
