bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
3,7ee38785ecdd2f5a56a41302d4482675ce0d7e68,911cca0254267decd90a4b6a9c0610549309a451,111,https://github.com/FasterXML/jackson-core/issues/111
4,7317dc95b0c9d09b94f37c8ae3a48de8b37729cc,3baa7d6742f7460bfb0af8edf48bf1575658109a,152,https://github.com/FasterXML/jackson-core/issues/152
5,bfdc2852923f671452c66ddf261c87e7e2e5b497,0d9cd9fa434c0070638332b7f2243af0277461eb,173,https://github.com/FasterXML/jackson-core/issues/173
6,0d9cd9fa434c0070638332b7f2243af0277461eb,d99951470163764b3e01a119dab2822e5fd98204,176,https://github.com/FasterXML/jackson-core/issues/176
7,b0ceb4eeb69f20f0e4242736ae3e19ed2b9c5da3,5cddffa133e7de41fa9efb5962cf3d0cff9b3e89,177,https://github.com/FasterXML/jackson-core/issues/177
8,ac6d8e22847c19b2695cbd7d1f418e07a9a3dbb2,11f0b4090937b2aa998734aa2bf032ee8c428e84,182,https://github.com/FasterXML/jackson-core/issues/182
11,7ca3d1cb6f1317863b5b04a1b0a7bac2aee5eefd,be4386724ff18232aff492cb9145288df86ea61c,216,https://github.com/FasterXML/jackson-core/issues/216
15,df96e221d14616b532e45657d584d2fc4b42df03,ecf088c391de0deb5a4297e51e9ce960b3924e09,209,https://github.com/FasterXML/jackson-core/issues/209
20,1a5c3655e2b1646c2b68bb40c99f7a7e62fa958a,fa64390b1bd5f1435daa9d2b17a58594cfb22817,318,https://github.com/FasterXML/jackson-core/issues/318
21,8296172c76c43edfb9831eac7fc012e4a32806ad,96faf2ecd985dfc838e2bf6f6ae4d9d4b310861b,330,https://github.com/FasterXML/jackson-core/issues/330
23,dc5c82e4af87577ac1b540b3f7e9279159185278,157f2c490003c7494af8ecb7d57880cda1fde736,502,https://github.com/FasterXML/jackson-core/issues/502
25,3d3dedc656e331ab1a9e28efcde96bf71c347daa,ad47c206f4fbf22f439f3d66871757891f549f6a,510,https://github.com/FasterXML/jackson-core/pull/510
26,eb477b85f74a2a1250ba6294cf4086d496830e27,d83ce8aec99f4e99afdf8fd172d77ce771f8ea35,531,https://github.com/FasterXML/jackson-core/issues/531
